MC_DataTool ASCII conversion

t           	Fi H6       
177.000     	1.89        
178.000     	-1.59       
179.000     	-2.62       
180.000     	1.34        
181.000     	1.77        
182.000     	-2.20       
183.000     	-1.10       
184.000     	-4.15       
185.000     	0.98        
186.000     	0.12        
187.000     	0.18        
188.000     	-0.55       
189.000     	-0.49       
190.000     	2.87        
191.000     	-0.31       
192.000     	-1.40       
193.000     	-0.12       
194.000     	-1.65       
195.000     	-0.37       
196.000     	-2.32       
197.000     	-1.83       
198.000     	-1.77       
199.000     	-1.04       
200.000     	-1.89       
201.000     	-0.18       
202.000     	-0.79       
203.000     	0.49        
204.000     	-0.06       
205.000     	0.00        
206.000     	-2.69       
207.000     	-3.23       
208.000     	1.28        
209.000     	-0.43       
210.000     	-2.69       
211.000     	-5.37       
212.000     	-4.46       
213.000     	-1.71       
214.000     	-0.61       
215.000     	-4.09       
216.000     	-1.53       
217.000     	-3.66       
218.000     	0.00        
219.000     	-0.49       
220.000     	-3.72       
221.000     	-0.98       
222.000     	-0.49       
223.000     	-1.83       
224.000     	-1.34       
225.000     	-1.28       
226.000     	0.12        
227.000     	-1.89       
228.000     	-1.71       
229.000     	-1.65       
230.000     	-4.94       
231.000     	-0.31       
232.000     	-4.09       
233.000     	-1.10       
234.000     	-1.59       
235.000     	-1.28       
236.000     	-9.40       
237.000     	-2.56       
238.000     	-3.54       
239.000     	-4.21       
240.000     	-0.06       
241.000     	-1.16       
242.000     	-4.33       
243.000     	-2.62       
244.000     	-2.93       
245.000     	0.55        
246.000     	3.42        
247.000     	-0.92       
248.000     	-1.16       
249.000     	1.10        
250.000     	-0.73       
251.000     	-2.50       
252.000     	-0.06       
253.000     	1.22        
254.000     	-3.60       
255.000     	-4.52       
256.000     	-2.87       
257.000     	-0.92       
258.000     	0.67        
259.000     	2.56        
260.000     	1.28        
261.000     	-1.34       
262.000     	-1.53       
263.000     	0.18        
264.000     	0.61        
265.000     	3.17        
266.000     	0.12        
267.000     	-0.92       
268.000     	-2.50       
269.000     	1.34        
270.000     	-2.14       
271.000     	-1.59       
272.000     	-0.92       
273.000     	1.77        
274.000     	1.10        
275.000     	-2.32       
276.000     	-2.26       
277.000     	-0.49       
278.000     	-0.98       
279.000     	-1.10       
280.000     	-0.85       
281.000     	-0.55       
282.000     	-0.31       
283.000     	-2.50       
284.000     	-3.54       
285.000     	-6.29       
286.000     	-5.86       
287.000     	-8.24       
288.000     	-5.80       
289.000     	-0.67       
290.000     	-3.17       
291.000     	-6.59       
292.000     	-4.21       
293.000     	-4.82       
294.000     	-4.82       
295.000     	-1.34       
296.000     	-0.24       
297.000     	-1.65       
298.000     	1.95        
299.000     	-0.73       
300.000     	-2.01       
301.000     	-0.55       
302.000     	-1.16       
303.000     	-1.65       
304.000     	-3.66       
305.000     	-1.40       
306.000     	1.83        
307.000     	-2.56       
308.000     	-3.17       
309.000     	-1.22       
310.000     	0.37        
311.000     	0.85        
312.000     	-1.04       
313.000     	2.62        
314.000     	1.10        
315.000     	-1.10       
316.000     	0.24        
317.000     	0.49        
318.000     	-2.50       
319.000     	-2.99       
320.000     	-2.81       
321.000     	-1.89       
322.000     	-1.40       
323.000     	1.28        
324.000     	-4.15       
325.000     	-1.22       
326.000     	-0.73       
327.000     	-1.95       
328.000     	-1.89       
329.000     	-3.48       
330.000     	-3.17       
331.000     	-0.67       
332.000     	-1.89       
333.000     	0.67        
334.000     	-1.65       
335.000     	-1.28       
336.000     	-2.08       
337.000     	-0.18       
338.000     	-2.32       
339.000     	1.16        
340.000     	0.43        
341.000     	0.98        
342.000     	0.31        
343.000     	0.31        
344.000     	-0.67       
345.000     	0.79        
346.000     	1.59        
347.000     	0.92        
348.000     	-2.62       
349.000     	3.17        
350.000     	1.89        
351.000     	-0.92       
352.000     	-0.79       
353.000     	0.79        
354.000     	-0.18       
355.000     	-1.77       
356.000     	-0.06       
357.000     	-0.37       
358.000     	-0.79       
359.000     	2.20        
360.000     	-0.92       
361.000     	0.55        
362.000     	0.06        
363.000     	0.18        
364.000     	2.32        
365.000     	2.75        
366.000     	-0.61       
367.000     	-0.67       
368.000     	-2.14       
369.000     	-4.58       
370.000     	0.43        
371.000     	-0.85       
372.000     	-0.18       
373.000     	1.95        
374.000     	-1.16       
375.000     	-0.18       
376.000     	0.43        
377.000     	0.49        
378.000     	0.79        
379.000     	-0.49       
380.000     	1.34        
381.000     	-1.22       
382.000     	2.08        
383.000     	-1.16       
384.000     	-3.91       
385.000     	-3.11       
386.000     	-4.94       
387.000     	-3.11       
388.000     	-3.72       
389.000     	-0.98       
390.000     	-0.12       
391.000     	2.08        
392.000     	-0.61       
393.000     	2.62        
394.000     	-0.61       
395.000     	-0.92       
396.000     	-0.12       
397.000     	-0.18       
398.000     	-2.38       
399.000     	1.22        
400.000     	-0.18       
401.000     	-1.40       
402.000     	-1.95       
403.000     	-1.34       
404.000     	0.98        
405.000     	1.59        
406.000     	-1.59       
407.000     	2.20        
408.000     	0.18        
409.000     	-0.85       
410.000     	-1.53       
411.000     	-2.01       
412.000     	-1.89       
413.000     	-3.60       
414.000     	-0.73       
415.000     	-2.62       
416.000     	0.31        
417.000     	0.31        
418.000     	-1.28       
419.000     	0.55        
420.000     	0.55        
421.000     	0.18        
422.000     	3.48        
423.000     	5.92        
424.000     	3.72        
425.000     	2.14        
426.000     	-0.55       
427.000     	2.26        
428.000     	3.23        
429.000     	-1.34       
430.000     	3.48        
431.000     	0.61        
432.000     	0.79        
433.000     	-1.16       
434.000     	0.67        
435.000     	0.12        
436.000     	2.99        
437.000     	2.81        
438.000     	1.71        
439.000     	2.44        
440.000     	0.43        
441.000     	-3.97       
442.000     	3.05        
443.000     	2.62        
444.000     	1.28        
445.000     	-0.12       
446.000     	0.73        
447.000     	-1.22       
448.000     	-2.38       
449.000     	1.16        
450.000     	0.79        
451.000     	-0.55       
452.000     	-0.67       
453.000     	-2.32       
454.000     	-0.73       
455.000     	-0.12       
456.000     	-1.71       
457.000     	-0.12       
458.000     	2.44        
459.000     	2.08        
460.000     	2.32        
461.000     	2.56        
462.000     	3.60        
463.000     	3.17        
464.000     	0.79        
465.000     	2.08        
466.000     	2.87        
467.000     	1.10        
468.000     	2.14        
469.000     	2.69        
470.000     	3.66        
471.000     	0.37        
472.000     	2.56        
473.000     	2.62        
474.000     	3.72        
475.000     	3.30        
476.000     	0.31        
477.000     	2.14        
478.000     	3.42        
479.000     	2.26        
480.000     	3.85        
481.000     	2.14        
482.000     	2.44        
483.000     	1.46        
484.000     	-1.22       
485.000     	1.16        
486.000     	0.55        
487.000     	1.34        
488.000     	3.42        
489.000     	4.39        
490.000     	2.99        
491.000     	2.93        
492.000     	3.17        
493.000     	5.74        
494.000     	5.49        
495.000     	0.06        
496.000     	4.70        
497.000     	0.06        
498.000     	2.44        
499.000     	5.80        
500.000     	2.62        
501.000     	0.98        
502.000     	1.46        
503.000     	2.32        
504.000     	1.65        
505.000     	-1.04       
506.000     	2.50        
507.000     	3.11        
508.000     	1.65        
509.000     	6.41        
510.000     	2.44        
511.000     	1.59        
512.000     	1.95        
513.000     	0.31        
514.000     	0.24        
515.000     	2.26        
516.000     	-1.46       
517.000     	1.77        
518.000     	0.61        
519.000     	2.14        
520.000     	1.59        
521.000     	0.67        
522.000     	1.65        
523.000     	-0.12       
524.000     	-0.79       
525.000     	-1.04       
526.000     	1.28        
527.000     	0.98        
528.000     	1.77        
529.000     	2.75        
530.000     	-1.89       
531.000     	-1.34       
532.000     	0.61        
533.000     	1.83        
534.000     	2.87        
535.000     	2.87        
536.000     	0.31        
537.000     	-0.24       
538.000     	-0.79       
539.000     	-1.65       
540.000     	0.79        
541.000     	-0.73       
542.000     	-0.12       
543.000     	0.79        
544.000     	-0.37       
545.000     	1.65        
546.000     	0.18        
547.000     	-0.92       
548.000     	1.53        
549.000     	5.62        
550.000     	1.28        
551.000     	-2.20       
552.000     	1.59        
553.000     	0.18        
554.000     	0.37        
555.000     	-0.49       
556.000     	-1.22       
557.000     	-1.59       
558.000     	-0.37       
559.000     	0.98        
560.000     	-0.67       
561.000     	1.59        
562.000     	-0.18       
563.000     	1.53        
564.000     	-2.99       
565.000     	0.31        
566.000     	-1.53       
567.000     	-2.50       
568.000     	1.59        
569.000     	0.98        
570.000     	-0.18       
571.000     	-4.64       
572.000     	-0.98       
573.000     	-2.87       
574.000     	0.00        
575.000     	-1.46       
576.000     	2.56        
577.000     	1.65        
578.000     	0.31        
579.000     	0.24        
580.000     	2.32        
581.000     	3.54        
582.000     	-1.65       
583.000     	-1.34       
584.000     	0.85        
585.000     	-1.16       
586.000     	1.40        
587.000     	-2.50       
588.000     	-1.65       
589.000     	0.55        
590.000     	-2.62       
591.000     	-3.23       
592.000     	-3.48       
593.000     	-0.98       
594.000     	0.55        
595.000     	-2.99       
596.000     	0.06        
597.000     	0.92        
598.000     	2.69        
599.000     	-0.98       
600.000     	-2.32       
601.000     	-0.31       
602.000     	-0.18       
603.000     	-1.16       
604.000     	0.49        
605.000     	1.28        
606.000     	-2.44       
607.000     	0.24        
608.000     	-2.20       
609.000     	2.69        
610.000     	0.24        
611.000     	0.00        
612.000     	0.24        
613.000     	-1.34       
614.000     	0.55        
615.000     	-1.34       
616.000     	1.10        
617.000     	3.42        
618.000     	1.59        
619.000     	-1.10       
620.000     	0.98        
621.000     	1.22        
622.000     	1.53        
623.000     	3.05        
624.000     	0.43        
625.000     	-0.18       
626.000     	-0.43       
627.000     	3.48        
628.000     	3.36        
629.000     	1.22        
630.000     	2.81        
631.000     	4.15        
632.000     	0.92        
633.000     	0.67        
634.000     	-1.46       
635.000     	-1.71       
636.000     	-1.16       
637.000     	0.98        
638.000     	1.16        
639.000     	-1.10       
640.000     	2.93        
641.000     	-0.85       
642.000     	-2.01       
643.000     	1.16        
644.000     	0.18        
645.000     	4.21        
646.000     	2.38        
647.000     	5.00        
648.000     	5.19        
649.000     	3.97        
650.000     	3.17        
651.000     	4.46        
652.000     	2.87        
653.000     	3.11        
654.000     	6.10        
655.000     	5.68        
656.000     	0.85        
657.000     	2.38        
658.000     	3.48        
659.000     	2.38        
660.000     	2.93        
661.000     	4.33        
662.000     	-1.46       
663.000     	1.46        
664.000     	-0.55       
665.000     	3.42        
666.000     	3.30        
667.000     	1.71        
668.000     	3.36        
669.000     	2.20        
670.000     	0.06        
671.000     	1.46        
672.000     	-1.46       
673.000     	-3.05       
674.000     	-1.71       
675.000     	-0.67       
676.000     	0.55        
677.000     	2.75        
678.000     	1.40        
679.000     	-0.85       
680.000     	0.55        
681.000     	-1.65       
682.000     	0.79        
683.000     	1.10        
684.000     	0.55        
685.000     	-4.39       
686.000     	1.04        
687.000     	2.20        
688.000     	0.73        
689.000     	1.59        
690.000     	1.53        
691.000     	1.77        
692.000     	2.08        
693.000     	1.53        
694.000     	-0.49       
695.000     	0.18        
696.000     	1.34        
697.000     	1.46        
698.000     	-1.10       
699.000     	2.32        
700.000     	1.59        
701.000     	2.20        
702.000     	-2.14       
703.000     	1.65        
704.000     	-1.04       
705.000     	-1.83       
706.000     	-0.43       
707.000     	-2.56       
708.000     	-1.34       
709.000     	0.79        
710.000     	-2.32       
711.000     	-2.32       
712.000     	-4.88       
713.000     	-2.93       
714.000     	-2.26       
715.000     	-0.37       
716.000     	-2.38       
717.000     	0.73        
718.000     	-1.65       
719.000     	-1.28       
720.000     	4.21        
721.000     	-0.85       
722.000     	-2.75       
723.000     	-1.22       
724.000     	-2.56       
725.000     	0.31        
726.000     	-1.53       
727.000     	0.31        
728.000     	-0.92       
729.000     	-0.31       
730.000     	1.95        
731.000     	1.10        
732.000     	4.46        
733.000     	3.78        
734.000     	2.14        
735.000     	4.70        
736.000     	2.01        
737.000     	0.00        
738.000     	1.10        
739.000     	1.71        
740.000     	-0.06       
741.000     	-1.89       
742.000     	1.10        
743.000     	-3.36       
744.000     	1.04        
745.000     	-2.56       
746.000     	-3.23       
747.000     	0.12        
748.000     	-2.62       
749.000     	-4.09       
750.000     	-2.93       
751.000     	-3.42       
752.000     	-4.39       
753.000     	-4.58       
754.000     	-3.11       
755.000     	-5.31       
756.000     	-3.78       
757.000     	-5.19       
758.000     	-2.69       
759.000     	1.40        
760.000     	-1.16       
761.000     	3.72        
762.000     	1.10        
763.000     	0.49        
764.000     	-1.46       
765.000     	-1.59       
766.000     	-0.73       
767.000     	0.85        
768.000     	-2.62       
769.000     	-1.59       
770.000     	3.66        
771.000     	1.53        
772.000     	2.14        
773.000     	2.69        
774.000     	3.78        
775.000     	2.38        
776.000     	0.67        
777.000     	0.43        
778.000     	-1.65       
779.000     	-0.31       
780.000     	0.98        
781.000     	1.46        
782.000     	2.26        
783.000     	0.06        
784.000     	0.55        
785.000     	-3.91       
786.000     	-0.98       
787.000     	-0.61       
788.000     	1.65        
789.000     	0.85        
790.000     	4.52        
791.000     	2.50        
792.000     	0.85        
793.000     	3.60        
794.000     	4.39        
795.000     	3.11        
796.000     	0.61        
797.000     	7.14        
798.000     	3.36        
799.000     	0.12        
800.000     	-0.49       
801.000     	1.77        
802.000     	2.99        
803.000     	0.31        
804.000     	2.20        
805.000     	0.12        
806.000     	1.04        
807.000     	4.09        
808.000     	7.93        
809.000     	7.02        
810.000     	4.09        
811.000     	6.29        
812.000     	2.93        
813.000     	3.66        
814.000     	3.48        
815.000     	1.22        
816.000     	2.50        
817.000     	0.61        
818.000     	8.61        
819.000     	6.41        
820.000     	0.85        
821.000     	5.80        
822.000     	9.34        
823.000     	7.51        
824.000     	9.40        
825.000     	10.50       
826.000     	8.73        
827.000     	9.77        
828.000     	12.27       
829.000     	16.30       
830.000     	14.22       
831.000     	12.82       
832.000     	13.55       
833.000     	12.45       
834.000     	13.00       
835.000     	12.39       
836.000     	10.50       
837.000     	11.05       
838.000     	10.31       
839.000     	6.59        
840.000     	8.61        
841.000     	7.81        
842.000     	5.62        
843.000     	3.23        
844.000     	2.93        
845.000     	2.81        
846.000     	3.42        
847.000     	1.71        
848.000     	3.66        
849.000     	4.03        
850.000     	0.00        
851.000     	2.87        
852.000     	2.87        
853.000     	0.18        
854.000     	-3.42       
855.000     	2.93        
856.000     	-1.34       
857.000     	0.61        
858.000     	-2.69       
859.000     	-2.75       
860.000     	-0.61       
861.000     	-1.71       
862.000     	-1.28       
863.000     	-4.88       
864.000     	-2.26       
865.000     	1.34        
866.000     	-1.71       
867.000     	-0.06       
868.000     	2.56        
869.000     	1.95        
870.000     	1.16        
871.000     	-3.36       
872.000     	0.67        
873.000     	-2.69       
874.000     	-3.54       
875.000     	-2.01       
876.000     	-3.48       
877.000     	-3.78       
878.000     	-7.32       
879.000     	-4.03       
880.000     	-5.43       
881.000     	-6.71       
882.000     	-5.55       
883.000     	-5.49       
884.000     	-7.93       
885.000     	-5.25       
886.000     	-6.71       
887.000     	-4.27       
888.000     	-4.03       
889.000     	-2.20       
890.000     	-3.78       
891.000     	-5.80       
892.000     	-2.99       
893.000     	-2.93       
894.000     	-1.16       
895.000     	-3.54       
896.000     	-5.55       
897.000     	-1.83       
898.000     	-4.09       
899.000     	-4.27       
900.000     	-5.55       
901.000     	-3.17       
902.000     	-5.62       
903.000     	-3.85       
904.000     	-2.56       
905.000     	-3.97       
906.000     	-5.31       
907.000     	-3.66       
908.000     	-3.54       
909.000     	-3.36       
910.000     	-2.50       
911.000     	-4.64       
912.000     	-2.38       
913.000     	-2.62       
914.000     	-1.89       
915.000     	-4.09       
916.000     	-3.78       
917.000     	-6.84       
918.000     	-7.02       
919.000     	-2.81       
920.000     	-8.48       
921.000     	-5.07       
922.000     	-5.31       
923.000     	-3.97       
924.000     	-4.94       
925.000     	-5.80       
926.000     	-6.10       
927.000     	-3.30       
928.000     	-4.21       
929.000     	-4.27       
930.000     	-4.76       
931.000     	-0.31       
932.000     	-3.36       
933.000     	-6.41       
934.000     	-6.96       
935.000     	-2.32       
936.000     	-5.19       
937.000     	-3.23       
938.000     	-3.60       
939.000     	-3.60       
940.000     	-5.19       
941.000     	-4.03       
942.000     	-3.23       
943.000     	-2.14       
944.000     	-3.60       
945.000     	-4.70       
946.000     	-3.36       
947.000     	-3.23       
948.000     	-5.43       
949.000     	-4.27       
950.000     	-4.52       
951.000     	-3.91       
952.000     	-4.52       
953.000     	-4.82       
954.000     	-2.14       
955.000     	-4.82       
956.000     	-2.32       
957.000     	-3.05       
958.000     	-5.13       
959.000     	-1.34       
960.000     	-1.28       
961.000     	-2.26       
962.000     	-3.42       
963.000     	-0.92       
964.000     	-3.05       
965.000     	-1.22       
966.000     	-3.48       
967.000     	-1.53       
968.000     	-2.81       
969.000     	-3.48       
970.000     	-2.44       
971.000     	-3.54       
972.000     	-2.32       
973.000     	-3.66       
974.000     	2.44        
975.000     	-1.34       
976.000     	-2.26       
977.000     	-1.65       
978.000     	-1.40       
979.000     	-3.05       
980.000     	0.00        
981.000     	-2.14       
982.000     	-3.48       
983.000     	-4.52       
984.000     	-3.66       
985.000     	-5.19       
986.000     	1.04        
987.000     	-2.93       
988.000     	-3.23       
989.000     	-2.26       
990.000     	-2.32       
991.000     	0.92        
992.000     	-2.99       
993.000     	-2.14       
994.000     	-2.93       
995.000     	-3.17       
996.000     	-4.70       
997.000     	-5.19       
998.000     	-4.15       
999.000     	-3.11       
1000.000    	-3.11       
1001.000    	-0.61       
1002.000    	-1.53       
1003.000    	0.55        
1004.000    	-0.06       
1005.000    	-2.50       
1006.000    	-2.14       
1007.000    	-2.93       
1008.000    	0.67        
1009.000    	-3.11       
1010.000    	-1.04       
1011.000    	-0.24       
1012.000    	-3.66       
1013.000    	-0.12       
1014.000    	-3.91       
1015.000    	-2.50       
1016.000    	-1.83       
1017.000    	-4.70       
1018.000    	-3.23       
1019.000    	-2.14       
1020.000    	-1.34       
1021.000    	-3.42       
1022.000    	-3.91       
1023.000    	-2.81       
1024.000    	-1.71       
1025.000    	-3.78       
1026.000    	-2.99       
1027.000    	-2.56       
1028.000    	2.14        
1029.000    	-0.06       
1030.000    	2.81        
1031.000    	-0.61       
1032.000    	-1.04       
1033.000    	2.44        
1034.000    	-0.61       
1035.000    	-1.28       
1036.000    	1.95        
1037.000    	3.85        
1038.000    	0.12        
1039.000    	2.50        
1040.000    	2.14        
1041.000    	0.43        
1042.000    	2.26        
1043.000    	1.89        
1044.000    	0.73        
1045.000    	-0.37       
1046.000    	3.36        
1047.000    	2.69        
1048.000    	3.30        
1049.000    	1.22        
1050.000    	0.43        
1051.000    	0.31        
1052.000    	1.46        
1053.000    	-1.71       
1054.000    	1.59        
1055.000    	-0.98       
1056.000    	2.44        
1057.000    	-0.98       
1058.000    	-2.87       
1059.000    	-1.95       
1060.000    	2.75        
1061.000    	3.42        
1062.000    	1.16        
1063.000    	0.43        
1064.000    	-0.31       
1065.000    	0.79        
1066.000    	0.67        
1067.000    	3.48        
1068.000    	-1.28       
1069.000    	-2.50       
1070.000    	-0.55       
1071.000    	-0.12       
1072.000    	0.92        
1073.000    	-0.18       
1074.000    	-0.06       
1075.000    	-1.53       
1076.000    	2.01        
1077.000    	1.83        
1078.000    	0.79        
1079.000    	-1.65       
1080.000    	-0.92       
1081.000    	-5.31       
1082.000    	0.31        
1083.000    	1.71        
1084.000    	-2.01       
1085.000    	1.22        
1086.000    	2.08        
1087.000    	-2.44       
1088.000    	-0.12       
1089.000    	-0.31       
1090.000    	-1.40       
1091.000    	-0.43       
1092.000    	-3.72       
1093.000    	0.79        
1094.000    	-0.18       
1095.000    	1.28        
1096.000    	0.43        
1097.000    	-1.22       
1098.000    	-3.72       
1099.000    	-5.86       
1100.000    	-1.46       
1101.000    	-3.11       
1102.000    	-2.14       
1103.000    	3.30        
1104.000    	1.53        
1105.000    	0.24        
1106.000    	-0.12       
1107.000    	-0.12       
1108.000    	0.61        
1109.000    	-0.92       
1110.000    	1.28        
1111.000    	-0.37       
1112.000    	-3.11       
1113.000    	-1.28       
1114.000    	-1.89       
1115.000    	-0.31       
1116.000    	-0.61       
1117.000    	-2.87       
1118.000    	-2.38       
1119.000    	-3.66       
1120.000    	-3.23       
1121.000    	2.01        
1122.000    	-1.28       
1123.000    	0.92        
1124.000    	-1.46       
1125.000    	-3.91       
1126.000    	-1.22       
1127.000    	-1.89       
1128.000    	-1.65       
1129.000    	0.12        
1130.000    	2.56        
1131.000    	-1.77       
1132.000    	-3.66       
1133.000    	-2.93       
1134.000    	0.37        
1135.000    	-2.93       
1136.000    	0.55        
1137.000    	0.73        
1138.000    	0.12        
1139.000    	-1.16       
1140.000    	0.24        
1141.000    	-1.04       
1142.000    	0.73        
1143.000    	-0.49       
1144.000    	-2.50       
1145.000    	-1.34       
1146.000    	-0.43       
1147.000    	2.20        
1148.000    	-0.31       
1149.000    	-1.59       
1150.000    	0.49        
1151.000    	0.85        
1152.000    	-2.08       
1153.000    	-2.99       
1154.000    	-4.88       
1155.000    	0.00        
1156.000    	-1.04       
1157.000    	1.53        
1158.000    	-1.04       
1159.000    	-0.37       
1160.000    	0.18        
1161.000    	2.08        
1162.000    	-3.91       
1163.000    	-1.71       
1164.000    	-1.53       
1165.000    	1.40        
1166.000    	-1.04       
1167.000    	2.50        
1168.000    	0.73        
1169.000    	-4.21       
1170.000    	-3.97       
1171.000    	-0.06       
1172.000    	3.30        
1173.000    	-0.85       
1174.000    	-2.26       
1175.000    	-2.26       
1176.000    	0.18        
1177.000    	-1.65       
1178.000    	-2.50       
1179.000    	1.71        
1180.000    	-0.43       
1181.000    	-0.55       
1182.000    	-1.77       
1183.000    	1.59        
1184.000    	1.83        
1185.000    	-0.12       
1186.000    	-0.79       
1187.000    	2.38        
1188.000    	-1.22       
1189.000    	1.77        
1190.000    	0.24        
1191.000    	1.53        
1192.000    	0.61        
1193.000    	2.32        
1194.000    	1.59        
1195.000    	3.23        
1196.000    	-0.67       
1197.000    	-2.44       
1198.000    	0.06        
1199.000    	3.05        
1200.000    	-0.31       
1201.000    	1.71        
1202.000    	-0.06       
1203.000    	-3.30       
1204.000    	-1.71       
1205.000    	-1.46       
1206.000    	2.32        
1207.000    	3.85        
1208.000    	-2.99       
1209.000    	-0.49       
1210.000    	-3.36       
1211.000    	-0.67       
1212.000    	-3.42       
1213.000    	-3.30       
1214.000    	-1.34       
1215.000    	-0.55       
1216.000    	-3.36       
1217.000    	-4.27       
1218.000    	-3.66       
1219.000    	-2.38       
1220.000    	-3.05       
1221.000    	-5.31       
1222.000    	-0.98       
1223.000    	-3.72       
1224.000    	0.92        
1225.000    	-3.17       
1226.000    	-1.83       
1227.000    	-1.28       
1228.000    	-3.85       
1229.000    	-1.95       
1230.000    	-0.18       
1231.000    	-4.46       
1232.000    	0.12        
1233.000    	-2.99       
1234.000    	-0.67       
1235.000    	-0.43       
1236.000    	-3.05       
1237.000    	-2.38       
1238.000    	0.37        
1239.000    	0.92        
1240.000    	1.77        
1241.000    	1.10        
1242.000    	1.40        
1243.000    	-2.69       
1244.000    	-1.53       
1245.000    	1.95        
1246.000    	1.34        
1247.000    	2.26        
1248.000    	0.55        
1249.000    	0.92        
1250.000    	0.06        
1251.000    	1.10        
1252.000    	-1.71       
1253.000    	-3.23       
1254.000    	-0.37       
1255.000    	0.12        
1256.000    	0.61        
1257.000    	-3.36       
1258.000    	0.85        
1259.000    	-0.73       
1260.000    	-1.65       
1261.000    	-4.82       
1262.000    	-4.09       
1263.000    	-3.23       
1264.000    	0.06        
1265.000    	-2.75       
1266.000    	-0.31       
1267.000    	1.22        
1268.000    	1.95        
1269.000    	3.17        
1270.000    	1.22        
1271.000    	-0.98       
1272.000    	3.05        
1273.000    	-1.40       
1274.000    	-0.73       
1275.000    	-0.98       
1276.000    	1.65        
1277.000    	-2.69       
1278.000    	-2.69       
1279.000    	-1.22       
1280.000    	0.37        
1281.000    	2.01        
1282.000    	-1.16       
1283.000    	-0.92       
1284.000    	0.61        
1285.000    	0.85        
1286.000    	-1.40       
1287.000    	-4.21       
1288.000    	-3.72       
1289.000    	-0.67       
1290.000    	0.37        
1291.000    	-0.18       
